Species,Subspecies,Hybrid,MorphogroupID,SpeciesID,SubspeciesID,Clade2012,SpecimenID,HerbariumSheetID,Family,Species_Full_Name,Country,Fst_political,Snd_political,Locality,Habitat,Elevation,Latitude,LatitudeDeg,LatitudeMin,LatitudeSec,LatitudeNS,Longitude,LongitudeDeg,LongitudeMin,LongitudeSec,LongitudeEW,Collector,CollectorNumber,CollectionDate,DeterminedBy,SpecimenData,OlderLabelsData,Notes,DNA,TYPE,MO,NY,F,US,UC,RSA,GH,L,K,E,GOET,BR,LIL,CORD,CTES,SP,RB,REU,ANDES,SPF,CONC,SI,MOL,LPB,USZ
E. rosea,NA,0,27,7,0,F,CT10396,MO3925189,Escalloniaceae,Escallonia aff. rosea Griseb.,Chile,Biobio,Angol,"Road between Angol and Parque Nacional Nahuelbuta, more or less in middle of distance","Dry roadsides and scrub, and under pine plantation and thicketsof native including Drimys, Persea and Nothofagus",300,-37.66666667,37,40,,S,-73,73,0,,W,"C.M. Taylor, I. Maltes, P. Peñailillo, M. Baeza",10396,12/3/90,F. Zapata 2005,"Occasional, straggly shrubs to 2 m, arching near river; flowers deep red",,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,GIII52,MO1126873,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Santiago,,In valle flum. Yeso,,2300,-33.33333333,33,20,,S,-70.25,70,15,,W,Gay,"III, 52",1/1/33,F. Zapata 2005,Flore rubeo,"E. alpina. (determined by?). E. rosea determined by Hamilton. Label from C. Grandjot et det. Without number, but in the label it has 2 numbers: Gay III 52 and Reiche III 19. It's weird that is not cited in Sleumer…or I could not find it.",,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,CE10571,MO3738470,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Osorno,Antillanca,Parque Nacional Puyehue,"Foret a Nothofagus, a la limte de la vegetation arborescente",1050,-40.75,40,45,,S,-72.15,72,9,0,W,C. Evrard,10571,1/26/85,,"Sous-arbuste 80 cm de haut, fl. Roses",I guess it was determined by C. Evrard,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,ST2285,MO4029392,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Santiago,Santiago,Parque Nacional El Morado,Ligada a cursos de Agua,2300,-33.81666667,33,49,0,S,-70.08361111,70,5,1,W,"S. Teillier, L. Gonzalez",2285,12/29/90,F. Zapata 2005,"Arbusto de hasta 150 cm, flores rosado-purpureas",I guess it was determined originally by S. Teillier & L. Gonzalez,"Green, in fruit",0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,RWs.n.,MO4979489,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Argentina,Rio Negro,Bariloche,"Cerro Catedral, southwest of Bariloche.",Moderately dense vegetation. Rocky outcrop area near Superior Station. ,1850,-41.21666667,41,13,0,S,-71.5,71,30,0,W,R.T. Ward,s.n.,2/8/64,F. Zapata 2005,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,TP14391,MO5681288,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Aisén,Coihaique,"Reserva Forestal Cerro Castillo, behind the forester's house",Dry Stream bed,1000,-45.88611111,45,53,10,S,-72.12583333,72,7,33,W,T.M. Pedersen,14391,2/6/86,F. Zapata 2005,"Low shrub, flowers pink",,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,TP14473,MO5681289,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Magallanes,Ultima Esperanza,Shores of Laguna Grey,On rocky ground,20,-51.5825,51,34,57,S,-72.75944444,72,45,34,W,T.M. Pedersen,14473,2/24/86,F. Zapata 2005,"Low shrub, flowers red",,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,GS2237,MO5733317,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Argentina,Neuquén,Picunches,Ruta provincial 13 y arroyo Primeros Pinos,,1900,-38.86666667,38,52,0,S,-70.48333333,70,28,60,W,G. Seijo,2237,1/10/00,A. Schinini,"Arbusto de 2 m, flores color rosado, con estrías mas oscuras.",,,0,0,1,,,,,,,,1,,,,,,1,,,,,,,,,,
E. alpina,NA,0,27,8,0,F,FZ331,MO6274111,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Santiago,Santiago,"Valle del rio Mapocho, Villa Paulina, Yerba Loca","Subiendo al Nevado, cerca de una depresión húmeda. Creciendo con Fabiana sp y Escallonia myrtoidea",2033,-33.30055556,33,18,2,S,-70.31805556,70,19,5,W,F. Zapata,331,1/12/08,F. Zapata 2008,"Arbusto 80 cm, madera amarillosa, flores rosadas",,,1,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
E. alpina,NA,0,27,8,0,F,FZ338,MO6274112,Escalloniaceae,Escallonia alpina Poepp. ex DC.,Chile,Santiago,Santiago,"Valle del rio Mapocho, Villa Paulina, Yerba Loca","Subiendo a Nevado a orillas del río, en pequeño matorral altoandino con Berberis, Loasaceae, Baccharis",1980,-33.29638889,33,17,47,S,-70.31444444,70,18,52,W,F. Zapata,338,1/12/08,F. Zapata 2008,"Arbusto 1.7 m, muy ramificado desde la base formando un arbusto frondoso! flores de color rojo intenso con tintes blancos en la base de pétalos; este color de pétalos es completamente diferente al color de los individuos de E. alpina que recolecté cuando E.alpina crecia con más individuos de E. myrtoidea en simpatría (en esa localidad hay muy pocos individuos de E. myrtoidea)",,,0,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
